type,pollutant,q0,q25,q50,q75,q100
VMT,CO2,1,1,1,1,1
VMT,CO,0.45,0.98,0.98,0.99,1
VMT,PM2.5,0,0.3,0.59,0.76,0.99
VMT,PM10,0,0.34,0.62,0.78,0.99
VMT,SO2,0,0.12,0.39,0.63,0.99
VMT,NOx,0.16,0.95,0.96,0.97,1
VMT,VOC,0,0.86,0.91,0.93,1
Emissions Factor,CO2,1,1,1,1,1
Emissions Factor,CO,0.46,0.98,0.99,0.99,1
Emissions Factor,PM2.5,0,0.31,0.6,0.77,0.96
Emissions Factor,PM10,0,0.35,0.63,0.78,0.96
Emissions Factor,SO2,0,0.12,0.39,0.64,0.95
Emissions Factor,NOx,0.02,0.95,0.97,0.97,0.99
Emissions Factor,VOC,0,0.86,0.91,0.94,0.98
